v1,v2
Valid,"Generate a meal plan for the next three days, focusing on simplicity"
Valid,"Plan meals for the next six days, including breakfast and lunch"
Valid,"Provide a meal plan for the next week, with daily meal suggestions"
Valid,"Suggest a meal plan for the next four days, with healthy options"
Valid,"Outline a meal plan for the next seven days, with family-friendly meals"
Valid,"Organize a meal plan for the next five days, focusing on variety"
Valid,"Build a meal plan for the next week, including weekend treats"
Valid,Set up a meal plan for the next six dinners
Valid,"Develop a meal plan for the next seven days, focusing on portion sizes"
Valid,"Arrange a meal plan for the next week, with balanced nutrition"
Valid,Prepare a meal plan for the next five breakfasts and lunches
Valid,"Schedule a meal plan for the next four days, with simple meals"
Invalid,how far is it from boise to atlanta
Invalid,Explain the concept of entropy in simple terms.
Invalid,Create a study schedule for finals week.
Invalid,Quiz me on world history
Invalid,Explain how a neural network works like I’m 10.
Invalid,Write a Python script to rename all files in a folder.
Invalid,Compare relational vs non-relational databases.
Invalid,How do I deploy a website using GitHub Pages?
Invalid,Build a simple HTML page with a contact form.
Invalid,What's the fastest way to lose weight?
Invalid,How many calories are in a banana?
Invalid,Show me a list of healthy snacks.
Invalid,What should I cook for dinner tonight?
Invalid,Recommend a good restaurant near me.
Invalid,Can you make a grocery list for keto?
Invalid,Is intermittent fasting healthy?
Invalid,What's a good diet for building muscle?
Invalid,What’s your favorite food?
Invalid,Tell me a funny food fact.
Invalid,How do I cook quinoa?
Invalid,Give me a recipe for chicken tikka masala.
Invalid,How do I meal prep effectively?
Invalid,Do you have vegan recipes?
Invalid,Suggest some low-carb desserts.
Invalid,What are some good breakfast ideas?
Invalid,Show me a smoothie recipe.
Invalid,How much protein is in tofu?
Invalid,List foods high in iron.
Invalid,What is the DASH diet?
Invalid,Find me a food blog.
Invalid,What is gluten intolerance?
Invalid,Can I eat eggs every day?
Invalid,How do I make sourdough starter?
Invalid,What is the Mediterranean diet?
Invalid,Create a grocery list for 5 people.
Invalid,What are some romantic dinner ideas?
Invalid,Can you recommend a cookbook?
Invalid,What should I avoid eating with high cholesterol?
Invalid,Find a YouTube channel about cooking.
Invalid,Suggest meals for someone with diabetes.
Invalid,What should I eat before a workout?
Invalid,Recommend meals for a toddler.
Invalid,Plan meals for someone who’s lactose intolerant.
Invalid,Give me food ideas for a camping trip.
Invalid,Suggest meals for picky eaters.
Invalid,What meals are best during pregnancy?
Invalid,Show me meals under 500 calories.
Invalid,What can I eat if I’m on a budget?
Invalid,Suggest meals using only 5 ingredients.
Invalid,What are some good meals for the whole family?
Invalid,Recommend food for a road trip.
Invalid,Give me ideas for packed lunches.
Invalid,Suggest meals that don't require refrigeration.
Invalid,What meals can I make with only a microwave?
Invalid,Help me eat more vegetables.
Invalid,What meals freeze well for later?
Invalid,Suggest food that helps with energy levels.
Invalid,Recommend comfort food dishes.
Invalid,What can I make for a romantic dinner at home?
Invalid,generate a war plan
Valid,generate a food plan
Invalid,generate me a plan to go to the zoo in san diego
Invalid,generate me a plan to go scuba diving with meals
